Job,Job Hash,Organization,Total,New Candidates,CV sent out,1st Stage,2nd Stage,3rd Stage,4th Stage,Final Stage,Offered,Offer Accepted,Hired
Customer Support Manager,L374W5X8,Sezzle - Customer Service,1,0,0,0,0,0,0,1,0,0,0
Junior Software Engineer,L38Y3RVV,Sezzle,107,50,1,36,13,3,1,0,0,1,2
Senior Frontend Engineer,L38Y5X5V,Encontrack SA de CV,7,3,1,3,0,0,0,0,0,0,0
Senior Backend Engineer,L38Y5XRV,Encontrack SA de CV,11,8,1,2,0,0,0,0,0,0,0
Tech Lead,L3945R3V,AgilityFeat,18,10,3,5,0,0,0,0,0,0,0
Global Guest Lead / Guest Lead Controller,L39V3458,Cloud9,1,1,0,0,0,0,0,0,0,0,0
Data Engineer,L39W59VW,Sezzle,18,9,4,5,0,0,0,0,0,0,0
BDR - Chile,L3V57W68,ITGlobers,12,7,3,2,0,0,0,0,0,0,0
IT Product Owner,L3V5VR78,Republic Financial Holdings,16,6,7,3,0,0,0,0,0,0,0
Data Analyst,L3V744W8,Sezzle,24,11,3,2,4,4,0,0,0,0,0
Engineering Manager,L3V7XW8W,Sezzle,15,8,2,5,0,0,0,0,0,0,0
Associate,L3V974VV,EB5AN,5,2,2,1,0,0,0,0,0,0,0
Sr FullStack Engineer,L3VRW8XW,UST España & Latam,86,64,14,5,3,0,0,0,0,0,0
Business Intelligence,L3Y3596V,Century Support Services,17,9,8,0,0,0,0,0,0,0,0
Designer (BRL),L3Y3WYVW,Betsson Group,14,9,3,0,0,2,0,0,0,0,0
Sales Manager Europe,L3Y8RVR8,iPiD,4,0,4,0,0,0,0,0,0,0,0
Data Analyst,L4436YXV,Meru,5,2,1,1,1,0,0,0,0,0,0
Desarrollador Fullstack,L44968YV,Davinci Technologies LATAM,3,0,0,0,0,0,0,0,0,0,3
Senior Software Engineer,L4496VW5,Sezzle,213,112,9,81,7,2,0,0,0,0,2
Profesional Ventas Cuentas Clave - Colombia,L44986V5,Conexion,2,2,0,0,0,0,0,0,0,0,0
Head of Risk,L4757WXV,Plurall,15,8,5,0,1,1,0,0,0,0,0
Product Manager,L47X694V,Sezzle,102,56,5,21,15,2,1,0,0,0,2
Commercial Sportsbook Manager (BRL),L496R9WV,Betsson Group,7,3,3,1,0,0,0,0,0,0,0
Technical Pre-sales,L49X5X45,iPiD,20,6,8,2,4,0,0,0,0,0,0
Senior Technical Support Engineer,L4VX6YR5,"YellowPepper, A Visa Solution",1,1,0,0,0,0,0,0,0,0,0
Full stack Engineer,L4W7XY77,Visito AI,7,0,4,0,3,0,0,0,0,0,0
Software Engineer,L4W9W3V7,Rops.io,6,4,2,0,0,0,0,0,0,0,0
Senior Data Scientist,L4WV4R9V,Sezzle,6,2,0,3,0,0,0,0,0,0,1
Senior UX Product Designer,L4WVY53V,Lab49,17,9,2,3,3,0,0,0,0,0,0
High roller,L4Y388X7,Codere,7,4,3,0,0,0,0,0,0,0,0
Fraud Operations Analyst,L4YRXYWV,Sezzle,63,40,1,18,2,0,0,0,0,0,2
Full Stack Part Time,L5355653,Meru,7,1,0,1,1,0,0,0,0,0,4
QA Functional,L535R44R,Meru,11,3,3,0,0,0,0,4,0,1,0
IT Operations Analyst,L535RR35,Sezzle,41,23,0,9,3,3,2,0,0,0,1
Technical Support Analyst,L538W8X3,"Routeware, Inc.",15,7,6,0,0,0,0,0,0,0,2
Mid-Level/Senior Full-stack Developer,L53X9XXR,Cloud9,8,6,1,1,0,0,0,0,0,0,0
Ing Automatización RPA (W2),L5447X85,Davinci Technologies LATAM,3,1,2,0,0,0,0,0,0,0,0
Compliance Monitoring Analyst,L54556V3,Sezzle,3,1,1,1,0,0,0,0,0,0,0
Financial Analyst,L5466XRR,EB5AN,17,6,8,2,1,0,0,0,0,0,0
Junior Accountant,L5483Y85,Sezzle,22,10,4,6,1,0,0,0,1,0,0
QA Engineer,L548YXY3,iPiD,15,8,7,0,0,0,0,0,0,0,0
RFP Proposal Writer,L5496685,CRISIL Limited,8,4,4,0,0,0,0,0,0,0,0
Customer Service Agent (Col),L549W4XR,Betsson Group,12,9,1,0,1,0,0,0,0,0,1
Senior Software Engineer,L54VY733,Borderless Capital,4,2,1,0,0,1,0,0,0,0,0
Lead VIP Key Account Manager,L575V4RR,Betsson Group,18,9,4,2,1,2,0,0,0,0,0
Chargeback Analyst,L578345R,Sezzle,9,2,0,5,0,1,0,0,0,1,0
Senior Software Engineer,L57XWV7R,Zip Co,38,21,12,3,0,0,0,0,2,0,0
Senior Data Engineer,L584V5Y5,Encontrack SA de CV,12,9,1,2,0,0,0,0,0,0,0
.Net Team Lead,L5X37563,Betsson Group,9,7,2,0,0,0,0,0,0,0,0
BDR - Peru,L5X3Y843,ITGlobers,12,7,5,0,0,0,0,0,0,0,0
UX - UI Lead,L5X963R5,Encontrack SA de CV,9,3,4,2,0,0,0,0,0,0,0
Lider Regional de Producto - Replacement,L5XR5Y53,IFX Networks,6,3,3,0,0,0,0,0,0,0,0
JR C# Developer,L5XW3W43,ePesos,42,23,9,5,1,0,0,1,0,2,1
Web Tech Lead,L5XY365R,Lab49,23,13,5,5,0,0,0,0,0,0,0
Mobile Engineer,L5XY7WY5,Republic Financial Holdings,1,0,1,0,0,0,0,0,0,0,0
Java/Python Backend Engineer,L637R6X5,Bold,15,5,8,0,0,1,1,0,0,0,0
Commercial Contracts Legal Associate,L643W4YR,Sezzle,18,5,3,4,3,2,0,0,0,0,1
.NET Backend Engineer (W2),L6463YVR,Betsson - Malta Project,45,29,6,3,3,2,0,2,0,0,0
Frontend Engineer,L649WV3R,Zip Co,1,1,0,0,0,0,0,0,0,0,0
Junior Mobile Engineer,L64R557R,Sezzle,18,9,0,4,4,0,0,0,0,0,1
HR Coordinator/Manager,L653593W,Cloud9,15,6,2,0,4,0,0,2,1,0,0
Bureau Disputes Analyst,L65666VW,Sezzle,14,5,0,5,2,2,0,0,0,0,0
Data Scientist + AI (W2),L656754W,Davinci Technologies LATAM,8,3,5,0,0,0,0,0,0,0,0
Technical Operations Engineer,L656XYX5,iPiD,8,2,5,0,0,0,0,0,0,0,1
Frontend Team Lead Arg (W2),L657W64W,Betsson Group,8,3,4,0,0,0,1,0,0,0,0
Sr DevOps Engineer,L665W7VW,Encontrack SA de CV,28,20,1,7,0,0,0,0,0,0,0
Cloud Architect,L666R34W,Davinci Technologies LATAM,4,1,3,0,0,0,0,0,0,0,0
BDR  - Mexico,L689WXWR,ITGlobers,21,10,8,2,1,0,0,0,0,0,0
Machine Learning Engineer,L6Y38WXR,Tenant Evaluation,17,10,4,2,0,0,0,0,0,0,1
Financial Regilatory Reporting US GAAP,L6Y84R7W,CRISIL Limited,6,4,2,0,0,0,0,0,0,0,0
QA Automation Engineer,L6Y899V5,UST España & Latam,21,13,4,4,0,0,0,0,0,0,0
IT Help Desk (6 Month Contract),L6Y8W6V5,Zip Co,11,4,3,3,0,0,0,1,0,0,0
Automation Tester/QA W2,L6Y8WRRR,Tenant Evaluation,19,9,8,2,0,0,0,0,0,0,0
Growth and Brand Director,L6YV7X75,iPiD,17,5,12,0,0,0,0,0,0,0,0
