,Páginas,professional_profile,education,work_experience,skills,certifications,achievements,languages,projects,training_courses,volunteer_work,Orden Cronológico,Formato de Texto,Densidad de Información,Cantidad de Palabras, % Lenguaje de Técnico,LinkedIn,GitHub,Personal Website,Tablas,Errores de ortografia,Tamaño de fuente más usado,Legibilidad,Uso de negritas,Uso de cursivas,Uso de colores (excluyendo fondo blanco y links),Porcentaje de color real en la CV,Cantidad de imágenes o gráficos,Alineación principal,Consistencia de tamaños,Consistencia de márgenes,Passed,ratio_professional_profile,ratio_education,ratio_work_experience,ratio_skills,ratio_certifications,ratio_achievements,ratio_languages,ratio_projects,ratio_training_courses,ratio_volunteer_work,ratio_Errores de ortografia,tiene_perfil,tiene_educacion,tiene_certificaciones,tiene_proyectos,tiene_links_relevantes,tiene_skills,tiene_achievements,tiene_languages,tiene_projects,secciones_completas
0,2,39,28,72,98,69,0,0,13,48,0,1,2,18.2,493,3.655913978494624,0,0,0,0,56,12.0,0,96,35,1,0.11,0,1,1,0,1,0.07910750507099391,0.056795131845841784,0.1460446247464503,0.19878296146044624,0.13995943204868155,0.0,0.0,0.02636916835699797,0.0973630831643002,0.0,0.11359026369168357,1,1,1,1,0,1,0,0,1,7
1,6,306,369,80,0,57,9,4,182,389,0,1,0,20.2,1674,2.7251184834123223,0,0,0,0,123,12.0,0,52,64,0,0.0,1,1,0,1,1,0.1827956989247312,0.22043010752688172,0.04778972520908005,0.0,0.034050179211469536,0.005376344086021506,0.0023894862604540022,0.1087216248506571,0.23237753882915174,0.0,0.07347670250896057,1,1,1,1,0,0,1,1,1,8
2,1,26,56,10,99,0,0,65,0,23,0,1,2,18.91,388,6.829268292682928,0,0,0,1,82,9.0,1,0,0,1,32.12,9,1,0,0,1,0.06701030927835051,0.14432989690721648,0.02577319587628866,0.2551546391752577,0.0,0.0,0.16752577319587628,0.0,0.059278350515463915,0.0,0.211340206185567,1,1,0,0,0,1,0,1,0,6
3,1,71,14,80,28,0,0,2,0,0,24,1,2,23.6,378,7.329842931937172,1,0,0,0,34,10.1,0,53,0,1,0.98,0,1,1,0,1,0.18783068783068782,0.037037037037037035,0.21164021164021163,0.07407407407407407,0.0,0.0,0.005291005291005291,0.0,0.0,0.06349206349206349,0.08994708994708994,1,1,0,0,1,1,0,1,0,6
4,4,70,79,0,4,0,0,229,0,123,77,1,2,12.22,695,1.8461538461538465,0,0,0,1,94,10.0,0,111,0,1,3.51,3,1,1,1,1,0.10071942446043165,0.11366906474820145,0.0,0.0057553956834532375,0.0,0.0,0.3294964028776978,0.0,0.17697841726618704,0.11079136690647481,0.13525179856115108,1,1,0,0,0,1,0,1,0,6
5,3,80,46,6,0,0,0,6,110,29,0,1,2,16.07,416,5.3977272727272725,1,1,0,0,105,10.0,0,70,0,1,0.07,5,1,1,1,1,0.19230769230769232,0.11057692307692307,0.014423076923076924,0.0,0.0,0.0,0.014423076923076924,0.2644230769230769,0.06971153846153846,0.0,0.25240384615384615,1,1,0,1,1,0,0,1,1,6
6,10,189,485,28,125,47,59,129,223,347,0,1,2,20.26,2355,4.2477876106194685,0,0,0,1,299,12.0,0,0,0,0,0.0,0,1,1,1,1,0.08025477707006369,0.2059447983014862,0.0118895966029724,0.05307855626326964,0.019957537154989383,0.02505307855626327,0.05477707006369427,0.09469214437367304,0.1473460721868365,0.0,0.12696390658174098,1,1,1,1,0,1,1,1,1,9
7,4,621,48,68,5,0,0,0,0,131,0,1,0,23.33,1133,6.440071556350627,0,0,0,1,86,12.0,0,17,73,0,0.0,0,1,1,1,1,0.5481023830538394,0.04236540158870256,0.06001765225066196,0.00441306266548985,0.0,0.0,0.0,0.0,0.11562224183583407,0.0,0.07590467784642542,1,1,0,0,0,1,0,0,0,5
8,4,132,27,61,10,60,0,12,11,162,0,1,2,13.03,559,11.992619926199264,0,0,0,1,137,10.0,0,61,0,1,0.02,0,1,0,1,1,0.23613595706618962,0.04830053667262969,0.10912343470483005,0.017889087656529516,0.1073345259391771,0.0,0.02146690518783542,0.01967799642218247,0.2898032200357782,0.0,0.24508050089445438,1,1,1,1,0,1,0,1,1,8
9,3,14,105,30,1,2,0,39,8,21,0,1,2,16.33,351,9.612141652613827,0,0,0,0,143,10.0,0,65,29,1,0.03,0,1,1,1,1,0.039886039886039885,0.29914529914529914,0.08547008547008547,0.002849002849002849,0.005698005698005698,0.0,0.1111111111111111,0.022792022792022793,0.05982905982905983,0.0,0.4074074074074074,1,1,1,1,0,1,0,1,1,8
10,3,7,58,101,0,0,0,66,212,63,0,1,2,13.72,683,6.395348837209303,0,0,1,0,70,10.0,0,50,0,1,0.39,0,1,1,1,1,0.010248901903367497,0.0849194729136164,0.1478770131771596,0.0,0.0,0.0,0.09663250366032211,0.3103953147877013,0.09224011713030747,0.0,0.10248901903367497,1,1,0,1,1,0,0,1,1,6
11,4,218,342,40,64,0,5,48,206,0,25,1,2,16.67,1135,2.4953789279112755,1,0,0,0,77,11.0,0,121,666,1,0.49,0,1,1,1,1,0.1920704845814978,0.3013215859030837,0.03524229074889868,0.05638766519823789,0.0,0.004405286343612335,0.04229074889867841,0.1814977973568282,0.0,0.022026431718061675,0.06784140969162995,1,1,0,1,1,1,1,1,1,8
12,6,103,187,56,24,47,9,9,150,196,0,1,2,14.22,1333,7.996894409937888,0,0,0,0,125,10.1,0,124,0,1,0.08,0,1,1,1,1,0.07726931732933233,0.14028507126781695,0.042010502625656414,0.01800450112528132,0.035258814703675916,0.006751687921980495,0.006751687921980495,0.11252813203300825,0.14703675918979744,0.0,0.09377344336084022,1,1,1,1,0,1,1,1,1,9
13,3,5,37,0,2,4,7,0,3,10,0,1,2,14.16,104,7.760141093474426,0,0,0,3,131,11.0,0,26,0,1,2.54,0,1,0,1,1,0.04807692307692308,0.3557692307692308,0.0,0.019230769230769232,0.038461538461538464,0.0673076923076923,0.0,0.028846153846153848,0.09615384615384616,0.0,1.2596153846153846,1,1,1,1,0,1,1,0,1,7
14,2,15,88,116,160,0,0,6,22,26,0,1,0,21.62,606,4.801324503311259,1,1,1,0,41,11.0,0,48,0,1,0.19,0,1,1,0,1,0.024752475247524754,0.14521452145214522,0.19141914191419143,0.264026402640264,0.0,0.0,0.009900990099009901,0.036303630363036306,0.0429042904290429,0.0,0.06765676567656766,1,1,0,1,1,1,0,1,1,7
15,2,7,16,14,0,5,8,2,14,15,1,1,2,32.22,130,0.0358680057388809,1,1,1,0,191,10.0,0,61,0,1,0.45,0,1,1,0,1,0.05384615384615385,0.12307692307692308,0.1076923076923077,0.0,0.038461538461538464,0.06153846153846154,0.015384615384615385,0.1076923076923077,0.11538461538461539,0.007692307692307693,1.4692307692307693,1,1,1,1,1,0,1,1,1,9
