,secciones_completas,Errores de ortografia,Personal Website,Consistencia de márgenes,Densidad de Información,ratio_education,ratio_training_courses,Cantidad de Palabras,ratio_professional_profile,professional_profile,Uso de negritas,Passed
0,7,56,0,0,18.2,0.056795131845841784,0.0973630831643002,493,0.07910750507099391,39,96,1
1,8,123,0,1,20.2,0.22043010752688172,0.23237753882915174,1674,0.1827956989247312,306,52,1
2,6,82,0,0,18.91,0.14432989690721648,0.059278350515463915,388,0.06701030927835051,26,0,1
3,6,34,0,0,23.6,0.037037037037037035,0.0,378,0.18783068783068782,71,53,1
4,6,94,0,1,12.22,0.11366906474820145,0.17697841726618704,695,0.10071942446043165,70,111,1
5,6,105,0,1,16.07,0.11057692307692307,0.06971153846153846,416,0.19230769230769232,80,70,1
6,9,299,0,1,20.26,0.2059447983014862,0.1473460721868365,2355,0.08025477707006369,189,0,1
7,5,86,0,1,23.33,0.04236540158870256,0.11562224183583407,1133,0.5481023830538394,621,17,1
8,8,137,0,1,13.03,0.04830053667262969,0.2898032200357782,559,0.23613595706618962,132,61,1
9,8,143,0,1,16.33,0.29914529914529914,0.05982905982905983,351,0.039886039886039885,14,65,1
10,6,70,1,1,13.72,0.0849194729136164,0.09224011713030747,683,0.010248901903367497,7,50,1
11,8,77,0,1,16.67,0.3013215859030837,0.0,1135,0.1920704845814978,218,121,1
12,9,125,0,1,14.22,0.14028507126781695,0.14703675918979744,1333,0.07726931732933233,103,124,1
13,7,131,0,1,14.16,0.3557692307692308,0.09615384615384616,104,0.04807692307692308,5,26,1
14,7,41,1,0,21.62,0.14521452145214522,0.0429042904290429,606,0.024752475247524754,15,48,1
15,9,191,1,0,32.22,0.12307692307692308,0.11538461538461539,130,0.05384615384615385,7,61,1
16,5,44,0,0,24.62,0.14814814814814814,0.053703703703703705,540,0.1388888888888889,75,71,1
17,6,48,0,0,18.74,0.018633540372670808,0.002070393374741201,483,0.06625258799171843,32,27,1
18,8,121,0,0,17.28,0.064,0.032,125,0.12,15,12,1
19,7,29,0,0,28.34,0.010256410256410256,0.0,390,0.16666666666666666,65,36,1
20,9,103,1,1,18.48,0.2756756756756757,0.02810810810810811,925,0.014054054054054054,13,94,1
21,5,25,0,0,20.26,0.2675438596491228,0.039473684210526314,228,0.12719298245614036,29,17,1
22,6,21,0,0,16.78,0.022988505747126436,0.0,435,0.05747126436781609,25,58,1
23,8,110,0,1,19.26,0.05795768169273229,0.07359705611775529,1087,0.2529898804047838,275,204,1
24,6,82,0,0,15.87,0.23289473684210527,0.02894736842105263,760,0.0,0,20,1
25,5,99,0,0,13.36,0.25,0.0,84,0.0,0,20,1
26,7,120,0,1,28.19,0.25646123260437376,0.06958250497017893,1509,0.16368455931080186,247,71,1
27,5,79,1,1,14.3,0.28038897893030795,0.18638573743922204,617,0.1312803889789303,81,69,1
28,7,79,1,1,21.14,0.34739178690344064,0.06326304106548279,901,0.05327413984461709,48,96,1
29,8,292,0,1,14.04,0.16798418972332016,0.05204216073781291,1518,0.06258234519104085,95,0,1
30,8,366,0,1,24.32,0.08818011257035648,0.031269543464665414,1599,0.16635397123202,266,75,1
31,9,297,0,0,7.07,0.27993527508090615,0.1650485436893204,618,0.0016181229773462784,1,25,1
32,8,74,0,1,16.0,0.08532934131736528,0.17065868263473055,668,0.12574850299401197,84,84,1
33,7,53,0,0,12.73,0.06373626373626373,0.054945054945054944,455,0.08351648351648351,38,46,1
34,7,116,1,1,16.62,0.2820037105751391,0.0,1078,0.06679035250463822,72,76,1
35,7,245,0,1,27.39,0.1437908496732026,0.0915032679738562,153,0.0784313725490196,12,84,1
36,7,56,0,0,23.3,0.04338394793926247,0.06290672451193059,461,0.028199566160520606,13,64,1
37,6,57,0,1,14.55,0.3804945054945055,0.0,728,0.028846153846153848,21,39,1
38,7,159,0,1,16.85,0.08368200836820083,0.06276150627615062,239,0.03765690376569038,9,56,1
39,6,71,0,0,24.35,0.15702479338842976,0.3400236127508855,847,0.03423848878394333,29,0,1
40,7,100,0,0,29.86,0.11764705882352941,0.25668449197860965,187,0.0053475935828877,1,0,1
41,9,115,0,0,16.15,0.10059171597633136,0.029585798816568046,169,0.005917159763313609,1,0,1
42,8,97,0,0,15.77,0.2265625,0.0078125,128,0.0859375,11,20,1
43,9,268,0,1,20.11,0.12853470437017994,0.007712082262210797,389,0.38046272493573263,148,76,1
44,8,102,0,1,14.42,0.19325842696629214,0.051685393258426963,890,0.0898876404494382,80,31,1
45,8,23,0,0,13.26,0.06936416184971098,0.2774566473988439,173,0.0,0,87,1
46,9,51,0,1,19.21,0.19308700834326578,0.017878426698450536,839,0.08224076281287247,69,97,1
47,5,495,0,1,12.05,0.007157464212678937,0.14519427402862986,978,0.04703476482617587,46,111,1
48,7,169,0,0,25.24,0.03225806451612903,0.27598566308243727,279,0.0035842293906810036,1,114,1
49,8,58,0,1,10.38,0.12202852614896989,0.022187004754358162,631,0.08557844690966719,54,54,1
50,8,152,0,1,13.05,0.1268882175226586,0.1107754279959718,993,0.21148036253776434,210,193,1
51,7,138,0,1,17.08,0.31712962962962965,0.09027777777777778,432,0.0625,27,24,1
52,8,229,0,0,32.67,0.053691275167785234,0.08053691275167785,149,0.06711409395973154,10,3,1
53,8,98,0,1,13.87,0.035650623885918005,0.0213903743315508,561,0.26737967914438504,150,81,1
54,6,97,0,1,15.99,0.052801724137931036,0.05387931034482758,928,0.0,0,125,1
55,5,71,0,0,27.74,0.09848484848484848,0.3181818181818182,396,0.05555555555555555,22,0,1
56,7,65,0,0,22.53,0.3286624203821656,0.022929936305732482,785,0.08025477707006369,63,75,1
57,4,410,0,1,14.42,0.0,0.0,768,0.12760416666666666,98,77,1
58,7,56,0,0,20.13,0.09090909090909091,0.07399577167019028,473,0.38266384778012685,181,85,1
59,5,153,0,1,13.25,0.11912225705329153,0.18808777429467086,319,0.14106583072100312,45,58,1
60,7,47,0,0,45.4,0.19723865877712032,0.03944773175542406,507,0.15187376725838264,77,42,1
61,10,142,0,1,23.21,0.043523316062176166,0.22694300518134716,1930,0.047150259067357515,91,247,1
62,5,32,0,0,17.74,0.3194444444444444,0.0,432,0.13425925925925927,58,15,1
63,4,48,0,0,15.33,0.17624521072796934,0.0,522,0.0,0,45,1
64,7,47,0,1,14.69,0.16903914590747332,0.06227758007117438,562,0.2793594306049822,157,106,1
65,5,26,0,0,11.6,0.042328042328042326,0.0,189,0.43386243386243384,82,18,1
66,7,67,0,1,12.86,0.07301587301587302,0.08148148148148149,945,0.03597883597883598,34,99,1
67,4,30,0,0,10.36,0.3343558282208589,0.04294478527607362,326,0.0,0,42,1
68,9,89,1,0,18.81,0.30319148936170215,0.02127659574468085,940,0.030851063829787233,29,125,1
69,8,50,0,0,21.91,0.03500473036896878,0.12677388836329234,1057,0.06433301797540208,68,20,1
70,10,108,0,0,29.76,0.2061762034514078,0.09990917347865577,1101,0.047229791099000905,52,51,1
71,6,36,0,0,27.56,0.051630434782608696,0.09239130434782608,368,0.002717391304347826,1,50,1
72,8,113,1,1,8.26,0.10629067245119306,0.039045553145336226,1383,0.24150397686189443,334,188,1
73,8,118,1,1,19.46,0.01955671447196871,0.018252933507170794,767,0.14341590612777053,110,100,1
74,5,37,0,0,22.85,0.3229665071770335,0.0,418,0.08851674641148326,37,33,1
75,8,49,0,0,12.93,0.17235188509874327,0.10951526032315978,557,0.019748653500897665,11,62,1
76,9,58,0,0,19.97,0.05442176870748299,0.06235827664399093,882,0.0963718820861678,85,24,1
77,8,867,1,1,7.17,0.011442786069651741,0.2746268656716418,2010,0.0845771144278607,170,477,1
78,4,18,0,0,13.39,0.042328042328042326,0.0,189,0.005291005291005291,1,53,1
79,8,247,1,1,12.08,0.07939698492462312,0.10552763819095477,995,0.1658291457286432,165,159,1
80,5,109,0,1,14.38,0.152153987167736,0.015582034830430797,1091,0.0,0,58,1
81,6,48,1,0,20.14,0.16908212560386474,0.057971014492753624,414,0.11594202898550725,48,52,1
82,7,72,0,1,17.86,0.12682926829268293,0.22926829268292684,820,0.06341463414634146,52,112,1
83,8,64,1,1,18.21,0.05841121495327103,0.0035046728971962616,856,0.1425233644859813,122,124,1
84,9,147,0,1,14.55,0.13329646017699115,0.06803097345132743,1808,0.1338495575221239,242,105,1
85,7,71,0,1,13.21,0.09057971014492754,0.15942028985507245,552,0.005434782608695652,3,55,1
86,7,46,0,1,8.72,0.32413793103448274,0.06758620689655172,725,0.12551724137931033,91,89,1
87,9,342,0,1,21.26,0.151618398637138,0.0068143100511073255,587,0.15843270868824533,93,86,1
88,6,31,0,0,10.54,0.11697247706422019,0.0,436,0.0,0,50,1
89,8,94,0,1,22.24,0.15434083601286175,0.02009646302250804,1244,0.05144694533762058,64,0,1
90,8,191,0,1,18.15,0.2965779467680608,0.23574144486692014,263,0.12547528517110265,33,11,1
91,6,110,0,0,10.36,0.054820415879017016,0.13043478260869565,529,0.06994328922495274,37,158,1
92,6,41,0,0,8.32,0.05555555555555555,0.0,216,0.2824074074074074,61,0,1
93,6,74,0,1,12.6,0.014802631578947368,0.23026315789473684,608,0.0,0,81,1
94,8,62,1,1,13.13,0.133419689119171,0.03756476683937824,772,0.14507772020725387,112,61,1
95,8,168,0,0,20.97,0.13392857142857142,0.002976190476190476,336,0.0625,21,0,1
96,8,48,0,0,15.35,0.28448275862068967,0.034482758620689655,348,0.04310344827586207,15,19,1
97,8,53,0,1,18.09,0.06269925611052073,0.08076514346439957,941,0.04144527098831031,39,16,1
98,7,59,0,1,16.61,0.10718789407313997,0.07313997477931904,793,0.15258511979823455,121,107,1
99,9,91,0,1,16.38,0.15272373540856032,0.1303501945525292,1028,0.011673151750972763,12,63,1
100,6,31,0,0,28.32,0.3177257525083612,0.04013377926421405,299,0.020066889632107024,6,118,1
101,9,40,0,1,18.81,0.19230769230769232,0.022546419098143235,754,0.09283819628647215,70,32,1
102,9,125,0,1,17.62,0.1516626115166261,0.0908353609083536,1233,0.064882400648824,80,52,1
103,7,95,0,1,16.77,0.501466275659824,0.002932551319648094,341,0.002932551319648094,1,43,1
104,8,466,0,1,13.38,0.020518358531317494,0.004319654427645789,926,0.009719222462203024,9,222,1
105,6,39,0,0,13.98,0.05870841487279843,0.046966731898238745,511,0.0,0,28,1
106,8,44,0,1,16.12,0.053208137715179966,0.08450704225352113,639,0.03755868544600939,24,78,1
107,7,43,0,0,17.27,0.0,0.0231023102310231,303,0.056105610561056105,17,61,1
108,9,40,0,1,12.41,0.25977653631284914,0.05446927374301676,716,0.03910614525139665,28,190,1
109,7,64,0,1,18.46,0.09622302158273381,0.046762589928057555,1112,0.052158273381294966,58,202,1
110,7,56,1,1,11.49,0.0297029702970297,0.3085808580858086,606,0.08085808580858085,49,91,1
111,9,48,0,1,13.27,0.15608919382504288,0.015437392795883362,583,0.0274442538593482,16,69,1
112,7,43,0,1,13.95,0.0851305334846765,0.015891032917139614,881,0.13847900113507378,122,120,1
113,7,49,1,0,16.92,0.18014184397163122,0.3588652482269504,705,0.0070921985815602835,5,0,1
114,5,89,0,0,20.84,0.11494252873563218,0.1724137931034483,87,0.0,0,18,1
115,6,50,0,0,27.79,0.013215859030837005,0.0,454,0.21585903083700442,98,28,1
116,5,75,0,0,17.72,0.27785419532324623,0.22558459422283356,727,0.027510316368638238,20,0,1
117,5,67,0,0,23.26,0.23948811700182815,0.031078610603290677,547,0.16453382084095064,90,67,1
118,7,56,0,1,5.8,0.19095477386934673,0.01256281407035176,398,0.0,0,112,1
119,7,86,0,1,12.08,0.2602870813397129,0.1569377990430622,1045,0.07559808612440191,79,46,1
120,6,23,0,0,16.86,0.017482517482517484,0.0,286,0.0979020979020979,28,29,1
121,7,67,0,0,21.06,0.09622886866059818,0.0377113133940182,769,0.0,0,93,1
122,5,47,0,1,12.44,0.3887640449438202,0.0,445,0.12359550561797752,55,69,1
123,6,100,0,0,16.06,0.1522911051212938,0.0,742,0.07547169811320754,56,0,1
124,6,32,0,0,10.42,0.22250639386189258,0.23529411764705882,391,0.0,0,0,1
125,7,87,0,0,11.47,0.05263157894736842,0.05473684210526316,475,0.1368421052631579,65,161,1
126,7,38,0,0,22.8,0.05341246290801187,0.04747774480712166,337,0.09495548961424333,32,0,1
127,9,268,0,1,20.11,0.12853470437017994,0.007712082262210797,389,0.38046272493573263,148,76,1
128,4,43,0,0,15.49,0.0967238689547582,0.0,641,0.0,0,81,1
129,9,71,0,0,27.54,0.3554817275747508,0.023255813953488372,903,0.13067552602436322,118,72,1
130,7,24,0,0,13.8,0.05531914893617021,0.03404255319148936,235,0.03404255319148936,8,0,1
131,7,51,1,1,18.95,0.051248357424441525,0.0,761,0.3088042049934297,235,122,1
132,8,79,0,0,13.76,0.14991181657848324,0.11992945326278659,567,0.059964726631393295,34,16,1
133,8,41,1,0,20.08,0.035269709543568464,0.04564315352697095,482,0.05186721991701245,25,46,1
134,6,31,0,0,19.65,0.0410958904109589,0.07534246575342465,292,0.11301369863013698,33,33,1
135,8,190,0,1,19.02,0.12275179856115108,0.04316546762589928,2224,0.3547661870503597,789,0,1
136,7,66,0,0,18.35,0.1255539143279173,0.0,677,0.0827178729689808,56,140,1
137,6,58,1,0,15.89,0.21442885771543085,0.0,499,0.052104208416833664,26,35,1
138,9,154,0,1,20.64,0.06437768240343347,0.09012875536480687,233,0.017167381974248927,4,27,1
139,5,32,0,0,12.25,0.02857142857142857,0.5492063492063493,315,0.0,0,31,1
140,7,97,0,0,24.93,0.2894736842105263,0.21710526315789475,152,0.006578947368421052,1,31,1
141,9,71,0,1,25.05,0.016727272727272726,0.02690909090909091,1375,0.12436363636363636,171,42,1
142,7,133,0,0,17.41,0.10344827586206896,0.027586206896551724,145,0.2206896551724138,32,23,1
143,5,124,0,0,24.19,0.09090909090909091,0.2840909090909091,88,0.0,0,14,1
144,7,73,0,0,18.48,0.016,0.296,500,0.286,143,158,1
145,6,43,0,1,10.2,0.2323008849557522,0.21238938053097345,452,0.004424778761061947,2,57,1
146,9,117,1,1,20.49,0.12557077625570776,0.15296803652968036,876,0.033105022831050226,29,82,1
147,7,36,0,0,13.43,0.15955766192733017,0.0,633,0.11532385466034756,73,163,1
148,9,74,1,1,6.1,0.13186813186813187,0.03296703296703297,91,0.06593406593406594,6,23,1
149,7,66,0,0,14.27,0.2377521613832853,0.1440922190201729,694,0.040345821325648415,28,0,1
150,6,268,0,0,16.09,0.07954545454545454,0.0,616,0.1396103896103896,86,61,1
151,5,52,0,0,14.56,0.18601398601398603,0.023776223776223775,715,0.34545454545454546,247,0,1
152,5,55,0,0,18.61,0.14119922630560927,0.0,517,0.02127659574468085,11,35,1
153,8,31,0,0,20.59,0.10198300283286119,0.0,353,0.025495750708215296,9,25,1
154,8,90,0,1,9.1,0.07233502538071065,0.02284263959390863,788,0.09898477157360407,78,0,1
155,6,53,0,0,15.01,0.3448275862068966,0.027586206896551724,435,0.08735632183908046,38,82,1
156,7,90,0,1,11.07,0.2976190476190476,0.10034013605442177,588,0.003401360544217687,2,179,1
157,8,69,1,1,15.3,0.013468013468013467,0.2727272727272727,891,0.11335578002244669,101,68,1
158,9,28,0,0,23.56,0.09792284866468842,0.002967359050445104,337,0.02373887240356083,8,69,1
159,5,127,0,0,17.26,0.13142857142857142,0.12,175,0.0,0,12,1
160,4,23,0,0,22.23,0.3295774647887324,0.0,355,0.13802816901408452,49,26,1
161,10,138,0,1,23.0,0.07905337361530715,0.07603222557905337,1986,0.05387713997985901,107,42,1
162,10,30,0,1,13.22,0.07874015748031496,0.0610236220472441,508,0.2125984251968504,108,77,1
163,5,261,0,1,14.61,0.0,0.062135922330097085,515,0.23106796116504855,119,123,1
164,6,31,0,0,20.88,0.0,0.043478260869565216,276,0.11594202898550725,32,2,1
165,7,38,1,0,22.69,0.043596730245231606,0.0,367,0.04904632152588556,18,64,1
166,6,59,0,0,13.44,0.05823863636363636,0.019886363636363636,704,0.18892045454545456,133,106,1
167,9,157,0,1,16.54,0.09225092250922509,0.05387453874538745,1355,0.12472324723247233,169,80,1
168,6,57,1,1,11.74,0.1734860883797054,0.0,611,0.06710310965630115,41,43,1
169,7,51,0,1,11.97,0.14139110604332952,0.06271379703534778,877,0.02394526795895097,21,161,1
170,4,26,0,0,12.91,0.04659498207885305,0.0,279,0.5698924731182796,159,32,1
171,9,87,0,1,15.24,0.328804347826087,0.010869565217391304,736,0.18206521739130435,134,0,1
172,7,38,0,0,16.75,0.15551839464882944,0.07859531772575251,598,0.21739130434782608,130,6,1
173,7,89,0,0,31.51,0.3155893536121673,0.07224334600760456,263,0.06844106463878327,18,32,1
174,6,33,0,1,9.97,0.2850678733031674,0.0,442,0.07013574660633484,31,30,1
175,4,33,0,0,16.28,0.10441767068273092,0.18072289156626506,249,0.0,0,21,1
176,4,30,0,0,20.89,0.30869565217391304,0.030434782608695653,230,0.0,0,0,1
177,7,30,0,0,22.44,0.23588039867109634,0.036544850498338874,301,0.03986710963455149,12,25,1
178,5,70,1,0,14.27,0.02333931777378815,0.0,557,0.0017953321364452424,1,175,1
179,6,54,0,0,17.14,0.1524822695035461,0.1400709219858156,564,0.06560283687943262,37,122,1
180,4,54,1,0,18.43,0.0,0.16143497757847533,446,0.0,0,80,1
181,8,99,1,0,20.76,0.20224719101123595,0.0,89,0.033707865168539325,3,17,1
182,7,53,0,0,11.11,0.025793650793650792,0.047619047619047616,504,0.14285714285714285,72,67,1
183,7,84,0,1,11.57,0.14285714285714285,0.05357142857142857,168,0.0,0,25,1
184,6,91,0,1,14.74,0.1919463087248322,0.025503355704697986,745,0.09664429530201342,72,90,1
185,8,53,1,1,23.03,0.15339966832504145,0.1310116086235489,1206,0.1550580431177446,187,28,1
186,6,27,0,0,20.02,0.09248554913294797,0.0,346,0.049132947976878616,17,22,1
187,9,120,1,1,15.96,0.21232876712328766,0.021404109589041095,1168,0.07106164383561644,83,208,1
188,5,260,0,0,17.29,0.1685185185185185,0.0,540,0.1925925925925926,104,43,1
189,7,87,0,1,19.46,0.17839922854387658,0.09257473481195758,1037,0.15814850530376084,164,180,1
190,5,33,0,0,13.72,0.03365384615384615,0.0,208,0.038461538461538464,8,0,1
191,6,55,0,1,11.98,0.11854103343465046,0.0,658,0.00303951367781155,2,33,1
192,7,100,0,1,21.12,0.20597790773229369,0.022092267706302793,1539,0.009746588693957114,15,268,1
193,9,68,1,1,19.92,0.1807909604519774,0.00903954802259887,885,0.06666666666666667,59,0,1
194,9,167,1,1,18.13,0.07342657342657342,0.013986013986013986,858,0.11655011655011654,100,57,1
195,7,108,0,1,28.32,0.09663503019844694,0.026747195858498704,1159,0.2614322691975841,303,9,1
196,6,158,0,0,22.25,0.05319148936170213,0.1595744680851064,94,0.06382978723404255,6,54,1
197,7,321,0,0,24.48,0.20784883720930233,0.00872093023255814,688,0.024709302325581394,17,59,1
198,5,73,0,0,16.79,0.21505376344086022,0.0,186,0.23655913978494625,44,0,1
199,7,128,1,1,17.18,0.10059171597633136,0.05917159763313609,1690,0.2757396449704142,466,201,1
200,7,59,0,0,25.64,0.10684931506849316,0.08767123287671233,365,0.18082191780821918,66,71,1
201,7,170,1,1,11.46,0.07896995708154507,0.06437768240343347,1165,0.0592274678111588,69,166,1
202,9,146,1,1,14.62,0.0650319829424307,0.03411513859275053,938,0.006396588486140725,6,47,1
203,6,41,0,0,17.22,0.11313131313131314,0.0,495,0.17575757575757575,87,20,1
204,6,60,0,1,10.86,0.0310391363022942,0.06477732793522267,741,0.07152496626180836,53,59,1
