,Páginas,professional_profile,education,work_experience,skills,certifications,achievements,languages,projects,training_courses,volunteer_work,Orden Cronológico,Formato de Texto,Densidad de Información,Cantidad de Palabras, % Lenguaje de Técnico,LinkedIn,GitHub,Personal Website,Tablas,Errores de ortografia,Fuente principal,Tamaño de fuente más usado,Legibilidad,Uso de negritas,Uso de cursivas,Uso de colores (excluyendo fondo blanco y links),Porcentaje de color real en la CV,Cantidad de imágenes o gráficos,Alineación principal,Consistencia de tamaños,Consistencia de márgenes,Passed
0,2,39,28,72,98,69,0,0,13,48,0,Orden Cronológico,Viñetas,18.2,493,3.655913978494624,False,False,False,0,56,BCDGEE+Garamond,12.0,Buena,96,35,Sí,0.11%,0,Justificado,Inconsistente,Consistente,1
1,6,306,369,80,0,57,9,4,182,389,0,Orden Cronológico,Mixto,20.2,1674,2.7251184834123223,False,False,False,0,123,BAAAAA+ArialMT,12.0,Buena,52,64,No,0.0%,1,Justificado,Consistente,Inconsistente,1
2,1,26,56,10,99,0,0,65,0,23,0,Orden Cronológico,Viñetas,18.91,388,6.829268292682928,False,False,False,1,82,AAAAAA+NotoSansZanabazarSquare-Regular,9.0,Deficiente,0,0,Sí,32.12%,9,Justificado,Consistente,Consistente,1
3,1,71,14,80,28,0,0,2,0,0,24,Orden Cronológico,Viñetas,23.6,378,7.329842931937172,True,False,False,0,34,AAAAAC+ArialMT,10.1,Buena,53,0,Sí,0.98%,0,Justificado,Inconsistente,Consistente,1
4,4,70,79,0,4,0,0,229,0,123,77,Orden Cronológico,Viñetas,12.22,695,1.8461538461538463,False,False,False,1,94,AAAAAA+Montserrat-Regular,10.0,Buena,111,0,Sí,3.51%,3,Justificado,Inconsistente,Inconsistente,1
5,3,80,46,6,0,0,0,6,110,29,0,Orden Cronológico,Viñetas,16.07,416,5.3977272727272725,True,True,False,0,105,BAAAAA+Lato-Regular,10.0,Buena,70,0,Sí,0.07%,5,Justificado,Inconsistente,Inconsistente,1
6,10,189,485,28,125,47,59,129,223,347,0,Orden Cronológico,Viñetas,20.26,2355,4.2477876106194685,False,False,False,1,299,CIDFont+F1,12.0,Buena,0,0,No,0.0%,0,Justificado,Inconsistente,Inconsistente,1
7,4,621,48,68,5,0,0,0,0,131,0,Orden Cronológico,Mixto,23.33,1133,6.440071556350627,False,False,False,1,86,AAAAAI+ArialMT,12.0,Buena,17,73,No,0.0%,0,Justificado,Inconsistente,Inconsistente,1
8,4,132,27,61,10,60,0,12,11,162,0,Orden Cronológico,Viñetas,13.03,559,11.992619926199263,False,False,False,1,137,BCDEEE+Verdana,10.0,Buena,61,0,Sí,0.02%,0,Justificado,Consistente,Inconsistente,1
9,3,14,105,30,1,2,0,39,8,21,0,Orden Cronológico,Viñetas,16.33,351,9.612141652613827,False,False,False,0,143,BAAAAA+Calibri,10.0,Buena,65,29,Sí,0.03%,0,Justificado,Inconsistente,Inconsistente,1
10,3,7,58,101,0,0,0,66,212,63,0,Orden Cronológico,Viñetas,13.72,683,6.395348837209303,False,False,True,0,70,BCDEEE+TrebuchetMS,10.0,Buena,50,0,Sí,0.39%,0,Justificado,Inconsistente,Inconsistente,1
11,4,218,342,40,64,0,5,48,206,0,25,Orden Cronológico,Viñetas,16.67,1135,2.4953789279112755,True,False,False,0,77,BCDIEE+Corbel-Italic,11.0,Buena,121,666,Sí,0.49%,0,Justificado,Inconsistente,Inconsistente,1
12,6,103,187,56,24,47,9,9,150,196,0,Orden Cronológico,Viñetas,14.22,1333,7.996894409937888,False,False,False,0,125,AAAAAD+TrebuchetMS,10.1,Buena,124,0,Sí,0.08%,0,Justificado,Inconsistente,Inconsistente,1
13,3,5,37,0,2,4,7,0,3,10,0,Orden Cronológico,Viñetas,14.16,104,7.760141093474426,False,False,False,3,131,BAAAAA+TimesNewRomanPSMT,11.0,Buena,26,0,Sí,2.54%,0,Justificado,Consistente,Inconsistente,1
14,2,15,88,116,160,0,0,6,22,26,0,Orden Cronológico,Mixto,21.62,606,4.801324503311259,True,True,True,0,41,BAAAAA+ArialMT,11.0,Buena,48,0,Sí,0.19%,0,Justificado,Inconsistente,Consistente,1
15,2,7,16,14,0,5,8,2,14,15,1,Orden Cronológico,Viñetas,32.22,130,0.03586800573888092,True,True,True,0,191,BAAAAA+Roboto-Regular,10.0,Buena,61,0,Sí,0.45%,0,Justificado,Inconsistente,Consistente,1
16,1,75,80,122,0,0,0,0,0,29,35,Orden Cronológico,Viñetas,24.62,540,1.9639934533551555,True,False,False,0,44,AAAAAA+Roboto-Regular,8.0,Deficiente,71,16,No,0.0%,0,Justificado,Inconsistente,Consistente,1
17,2,32,9,13,0,0,34,0,235,1,0,Orden Cronológico,Párrafos,18.74,483,6.732673267326733,False,False,False,0,48,BAAAAA+TimesNewRomanPSMT,12.0,Buena,27,0,No,0.0%,0,Justificado,Inconsistente,Consistente,1
18,1,15,8,13,6,0,0,4,16,4,15,No se detectaron suficientes fechas,Viñetas,17.28,125,3.5580524344569286,False,False,False,0,121,CAAAAA+Lato-Regular,9.0,Deficiente,12,0,Sí,2.46%,36,Justificado,Inconsistente,Consistente,1
19,1,65,4,13,58,0,0,40,25,0,10,Orden Cronológico,Viñetas,28.34,390,5.1020408163265305,False,False,False,1,29,BAAAAA+Montserrat-Regular,8.5,Deficiente,36,0,Sí,14.33%,0,Justificado,Inconsistente,Consistente,1
20,4,13,255,100,28,82,39,8,35,26,0,Orden Cronológico,Viñetas,18.48,925,2.954048140043764,False,False,True,0,103,BCDFEE+Tahoma,11.0,Buena,94,0,Sí,0.1%,8,Justificado,Inconsistente,Inconsistente,1
21,1,29,61,0,29,0,35,0,0,9,0,Orden Cronológico,Viñetas,20.26,228,1.809954751131222,False,False,False,1,25,Aileron-Regular,10.0,Buena,17,0,Sí,0.96%,0,Justificado,Inconsistente,Consistente,1
22,2,25,10,69,23,0,5,0,5,0,0,Orden Cronológico,Mixto,16.78,435,2.0737327188940093,False,False,False,0,21,BAAAAA+TimesNRMTPro,11.0,Buena,58,0,No,0.0%,0,Justificado,Inconsistente,Consistente,1
23,3,275,63,45,138,214,0,4,41,80,0,Orden Cronológico,Viñetas,19.26,1087,10.62200956937799,False,False,False,1,110,BCDGEE+Calibri,10.0,Buena,204,14,Sí,0.05%,0,Justificado,Consistente,Inconsistente,1
24,2,0,177,2,0,3,0,0,84,22,60,Orden Cronológico,Mixto,15.87,760,3.3156498673740056,True,False,False,0,82,BAAAAA+DejaVuSans,7.5,Deficiente,20,9,Sí,1.49%,0,Justificado,Inconsistente,Consistente,1
25,2,0,21,10,3,8,0,0,1,0,0,Orden Cronológico,Viñetas,13.36,84,5.46875,False,False,False,0,99,AAAAAA+Merriweather-Regular,9.0,Deficiente,20,1,Sí,0.17%,0,Justificado,Inconsistente,Consistente,1
26,5,247,387,84,71,0,0,48,19,105,0,Orden Cronológico,Mixto,28.19,1509,2.2845953002610964,False,False,False,1,120,UGGCUJ+AvenirNext-UltraLight,12.0,Buena,71,0,Sí,1.12%,5,Justificado,Inconsistente,Inconsistente,1
27,4,81,173,14,0,38,0,0,0,115,0,Orden Cronológico,Viñetas,14.3,617,7.634730538922156,True,False,True,6,79,AAAAAA+ArialMT,12.0,Buena,69,0,Sí,0.07%,0,Justificado,Consistente,Inconsistente,1
28,3,48,313,99,29,0,16,0,43,57,0,Orden Cronológico,Mixto,21.14,901,2.1929824561403506,False,False,True,0,79,BCDMEE+Candara,11.0,Buena,96,2,Sí,0.57%,0,Justificado,Inconsistente,Inconsistente,1
