Numero de Paginas,Densidad Informacion (%),Fechas Detectadas (Count),Tamaño cuerpo probable,Variedad de fuentes,Variedad de tamaños,Uso de negritas (estimado %),Uso de cursivas (estimado %),Porcentaje Lenguaje Técnico,LinkedIn,GitHub,Website/Otro,Cantidad de imágenes,Tiene Elementos Graficos,Lineas_education,Lineas_work_experience,Lineas_skills,Lineas_certifications,Lineas_achievements,Lineas_professional_profile,Lineas_languages,Lineas_projects,Lineas_publications,Lineas_training_courses,Lineas_volunteer_work,Seccion_languages,Seccion_publications,Seccion_training_courses,texto_extraido_len,Promedio tamaño fuente,Formato Texto (Lineas)_Párrafos,Formato Texto (Lineas)_Viñetas,Orden Temporal_Orden Temporal Detectado,Formato Fecha Más Común_MM-YYYY,Formato Fecha Más Común_MM/YYYY,Formato Fecha Más Común_Mon YYYY (EN),Formato Fecha Más Común_YYYY,Fuente principal_ArialMT,Fuente principal_Calibri,Fuente principal_Otra,Fuente principal_Tahoma,Legibilidad general_Buena,Consistencia tamaños fuente_Consistente,Consistencia márgenes (aprox)_Consistente,Uso de colores (texto)_Sí,Uso de colores (dibujos)_Sí,Deteccion Foto Perfil_Posible Foto Detectada,secciones_completas,Ratio_Lineas_Experiencia_len,Passed
2,5.71,3,12,7,5,34.4,91.7,3.72,1,0,1,0,0,6,2,26,0,0,0,0,9,0,0,0,0,1,1,3692,16.0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,7,0.0005417118093174431,1
1,8.09,1,9,1,1,0.0,100.0,9.61,0,0,1,9,1,8,12,3,0,0,3,1,0,7,0,0,1,1,1,2703,9.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,8,0.004439511653718091,1
1,8.27,0,10,3,4,21.8,100.0,8.58,0,0,0,0,1,3,38,1,0,0,0,0,0,0,0,0,1,1,1,2761,13.0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,9,0.013763129300977906,1
4,3.54,2,10,4,12,16.2,100.0,6.67,0,0,0,3,1,25,8,3,0,0,0,17,0,0,18,0,1,1,1,4732,14.916666666666666,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,7,0.0016906170752324597,1
3,4.71,0,10,6,7,31.2,5.2,11.29,1,1,0,5,1,0,7,0,0,2,5,8,2,3,1,0,1,1,1,4562,13.714285714285714,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,10,0.0015344147303814116,1
10,5.21,3,12,8,7,16.4,6.9,4.75,0,0,0,0,1,1,8,26,0,0,87,11,8,20,3,0,1,1,1,16844,12.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,8,0.0004749465685110425,1
4,5.93,0,12,7,4,5.8,100.0,8.05,0,0,0,0,1,39,2,4,0,39,0,0,21,16,1,0,1,1,1,7659,19.25,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,9,0.0002611306959133046,1
4,3.22,2,10,5,4,16.7,26.9,13.82,0,0,0,0,0,3,0,4,0,0,61,20,0,0,0,0,1,1,1,4309,12.0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,7,0.0,1
3,5.09,0,10,6,4,33.7,15.8,18.3,0,0,0,0,1,2,4,3,3,0,2,13,5,3,1,0,1,1,1,5106,12.75,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,9,0.0007833920877399138,1
3,4.99,0,10,6,5,13.9,5.1,8.85,0,0,1,0,1,4,1,1,9,0,17,14,17,0,2,0,1,1,1,4835,11.2,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,8,0.00020682523267838676,1
