Total_Word_Count,Has_Photo,Has_Colors,Pages,Keyword_Count,Education_Exists,Education_Word_Count,Work_Experience_Exists,Work_Experience_Word_Count,Skills_Exists,Skills_Word_Count,Certifications_Exists,Certifications_Word_Count,Achievements_Exists,Achievements_Word_Count,Professional_Profile_Exists,Professional_Profile_Word_Count,Projects_Exists,projects_Word_Count,volunteer_work_Exists,volunteer_work_Word_Count,Passed
499,1,1,2,26,1,40,1,384,1,2,0,0,0,0,1,57,0,0,0,0,1
794,1,1,2,25,0,0,1,4,0,0,0,0,0,0,1,9,1,424,0,0,0
351,1,1,2,13,1,30,1,97,1,11,1,22,0,0,0,0,0,0,0,0,0
566,1,1,3,20,1,34,1,35,1,63,1,28,0,0,0,0,1,82,0,0,0
1203,0,1,5,32,1,10,1,93,1,6,0,0,0,0,1,8,1,424,0,0,1
456,0,1,2,27,1,1,1,46,1,57,0,0,0,0,1,2,1,126,0,0,0
1174,1,1,3,46,1,176,1,39,0,0,1,28,1,30,1,64,1,3,0,0,0
718,0,0,2,52,1,21,1,67,1,1,1,28,0,0,0,0,1,91,0,0,0
344,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
680,1,1,2,15,1,176,1,1,1,9,0,0,0,0,1,64,1,199,0,0,0
598,1,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,3,18,1,176,1,26,1,305,0,0,0,0,1,47,1,12,0,0,0
1203,1,1,6,34,1,57,1,112,1,62,0,0,1,30,1,11,1,263,0,0,0
847,0,1,4,29,1,29,1,21,1,93,1,28,0,0,1,19,1,424,0,0,1
823,0,1,5,27,1,176,1,5,1,33,0,0,0,0,1,5,1,47,0,0,0
717,1,0,3,33,1,11,1,30,1,20,0,0,1,30,0,0,1,424,0,0,0
494,1,1,3,7,1,2,1,397,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,0,0,7,20,1,13,1,24,1,333,1,28,1,30,1,1,1,120,0,0,1
281,0,0,1,6,0,0,1,73,0,0,0,0,1,30,0,0,1,138,0,0,1
796,0,0,3,41,1,16,1,23,1,12,0,0,0,0,1,13,1,3,0,0,0
677,0,0,2,27,0,0,1,6,1,333,0,0,0,0,0,0,0,0,0,0,1
677,0,0,2,5,0,0,1,8,1,69,0,0,0,0,1,7,0,0,0,0,1
517,0,1,1,13,1,19,1,155,1,191,0,0,0,0,1,14,0,0,0,0,1
406,1,1,2,16,0,0,1,182,1,3,0,0,0,0,0,0,1,49,0,0,0
438,1,1,1,5,1,176,1,32,0,0,0,0,1,30,1,19,1,89,0,0,0
293,0,1,2,18,1,40,1,33,1,15,0,0,0,0,1,9,1,168,0,0,0
1203,0,0,7,109,1,176,1,28,1,333,0,0,0,0,1,7,1,424,0,0,1
827,1,1,2,33,0,0,1,72,0,0,0,0,0,0,0,0,1,271,0,0,0
336,0,1,2,11,1,15,1,50,1,230,0,0,0,0,1,1,0,0,0,0,1
621,1,1,2,24,1,130,1,45,1,16,0,0,0,0,1,1,1,398,0,0,0
532,1,1,1,14,1,176,1,68,0,0,0,0,0,0,1,4,0,0,0,0,1
800,1,1,4,15,1,33,1,164,1,47,0,0,0,0,0,0,1,424,0,0,1
979,0,0,3,50,1,176,1,19,1,43,0,0,0,0,1,51,0,0,0,0,0
251,1,1,1,6,1,120,1,24,1,8,0,0,0,0,1,58,1,28,0,0,0
892,1,1,4,68,1,13,1,4,0,0,0,0,0,0,0,0,1,49,0,0,0
1203,0,0,6,25,0,0,1,236,0,0,0,0,0,0,0,0,0,0,0,0,1
1203,0,0,7,40,1,19,1,397,0,0,0,0,0,0,1,64,1,424,0,0,1
985,1,1,4,24,1,176,1,37,0,0,0,0,0,0,1,64,1,104,0,0,0
1016,1,1,3,16,1,176,1,19,1,83,0,0,1,30,1,20,1,266,1,129,1
650,0,0,1,13,1,58,1,34,1,333,0,0,0,0,0,0,1,13,0,0,0
458,0,0,2,27,1,13,1,292,1,4,1,28,0,0,0,0,0,0,0,0,0
370,1,1,1,20,0,0,1,318,0,0,0,0,0,0,0,0,0,0,0,0,1
303,1,1,1,15,1,12,1,26,1,28,0,0,0,0,1,59,1,178,0,0,1
342,1,1,1,5,1,31,1,13,1,18,0,0,0,0,0,0,1,19,0,0,0
656,1,0,3,22,1,29,1,17,1,94,0,0,0,0,1,64,0,0,0,0,1
683,0,1,2,33,1,15,1,75,1,23,0,0,0,0,1,9,0,0,0,0,0
560,0,1,4,13,1,22,1,45,1,333,0,0,0,0,1,24,1,14,0,0,0
608,1,1,3,13,1,45,1,174,1,11,0,0,0,0,0,0,1,310,0,0,1
898,1,1,3,33,1,33,1,30,1,47,1,28,0,0,1,8,1,424,0,0,0
578,1,1,2,13,1,174,1,42,1,29,0,0,0,0,0,0,1,97,0,0,0
433,0,0,2,30,1,60,1,2,1,160,1,28,0,0,0,0,1,40,0,0,0
279,1,0,2,22,1,20,1,234,0,0,0,0,0,0,0,0,0,0,0,0,0
365,0,0,2,19,0,0,1,43,1,8,1,7,0,0,1,64,0,0,0,0,0
959,1,1,4,23,1,1,1,87,1,333,0,0,0,0,1,18,1,22,0,0,1
945,1,1,2,29,1,105,1,31,1,30,0,0,1,30,0,0,1,25,0,0,1
547,0,1,2,63,1,19,1,67,1,307,1,2,0,0,0,0,1,44,0,0,0
915,0,0,3,22,1,1,1,397,1,108,0,0,0,0,1,47,1,75,0,0,0
793,1,1,3,31,1,2,1,4,1,46,1,28,1,30,1,8,1,31,0,0,1
432,1,1,2,24,1,14,1,33,1,39,0,0,0,0,1,1,1,270,0,0,0
744,0,0,3,25,1,14,1,177,1,10,0,0,0,0,1,25,1,424,0,0,1
544,0,0,2,16,1,132,1,378,1,13,0,0,0,0,0,0,0,0,0,0,0
406,1,1,1,12,1,26,1,56,1,13,0,0,0,0,1,3,1,283,0,0,0
424,0,0,4,25,1,15,1,73,1,34,0,0,0,0,1,8,0,0,0,0,0
758,0,0,2,41,0,0,1,397,0,0,0,0,0,0,0,0,0,0,0,0,0
966,1,1,9,33,1,46,1,42,1,333,1,15,1,30,0,0,0,0,0,0,0
1203,1,1,38,24,0,0,1,397,1,333,0,0,0,0,0,0,0,0,0,0,1
1203,0,0,4,70,1,131,1,81,1,333,0,0,0,0,1,6,0,0,0,0,1
461,0,0,2,28,1,27,1,59,1,333,0,0,0,0,1,1,0,0,0,0,0
204,1,1,1,17,1,5,1,142,1,1,0,0,0,0,0,0,0,0,0,0,0
788,0,0,4,13,1,9,1,397,1,51,0,0,0,0,0,0,0,0,0,0,1
1057,1,1,2,17,1,176,1,82,1,20,0,0,0,0,1,12,1,374,0,0,1
639,0,0,3,15,1,72,1,59,1,2,1,19,0,0,0,0,1,403,0,0,1
740,0,0,2,47,1,27,1,100,1,56,0,0,0,0,0,0,1,369,0,0,0
